vereador,faltas,faltas_abonadas,total_de_faltas,ano,nome_mes,mes
Renato Cinco,0,0,0,2019,abril,4
Renato Moura,0,0,0,2019,abril,4
Rocal,0,0,0,2019,abril,4
Rosa Fernandes,0,0,0,2019,abril,4
Tânia Bastos,1,1,0,2019,abril,4
Tarcísio Motta,0,0,0,2019,abril,4
Teresa Bergher,0,0,0,2019,abril,4
Thiago K. Ribeiro,0,0,0,2019,abril,4
Tiãozinho do Jacaré,0,0,0,2019,abril,4
Vera Lins,0,0,0,2019,abril,4
Veronica Costa,0,0,0,2019,abril,4
Welington Dias,0,0,0,2019,abril,4
Willian Coelho,0,0,0,2019,abril,4
Zico,0,0,0,2019,abril,4
Zico Bacana,3,3,0,2019,abril,4
Alexandre Isquierdo,1,1,0,2019,maio,5
Átila A. Nunes,1,0,1,2019,maio,5
Babá,0,0,0,2019,maio,5
Carlos Bolsonaro,1,0,1,2019,maio,5
Cesar Maia,0,0,0,2019,maio,5
Dr. Carlos Eduardo,0,0,0,2019,maio,5
Dr. Gilberto,0,0,0,2019,maio,5
Dr. Jairinho,0,0,0,2019,maio,5
Dr. João Ricardo,2,0,2,2019,maio,5
Dr. Jorge Manaia,0,0,0,2019,maio,5
Dr. Marcos Paulo,1,0,1,2019,maio,5
Eliseu Kessler,0,0,0,2019,maio,5
Fátima da Solidariedade,0,0,0,2019,maio,5
Felipe Michel,0,0,0,2019,maio,5
Fernando William,0,0,0,2019,maio,5
Inaldo Silva,0,0,0,2019,maio,5
Italo Ciba,0,0,0,2019,maio,5
Jair da Mendes Gomes,0,0,0,2019,maio,5
Jones Moura,0,0,0,2019,maio,5
Jorge Felippe,4,3,1,2019,maio,5
Junior da Lucinha,0,0,0,2019,maio,5
Leandro Lyra,0,0,0,2019,maio,5
Leonel Brizola,0,0,0,2019,maio,5
Luciana Novaes,1,1,0,2019,maio,5
Luiz Carlos Ramos Filho,0,0,0,2019,maio,5
Major Elitusalem,0,0,0,2019,maio,5
Marcelino D Almeida,2,2,0,2019,maio,5
Marcello Siciliano,1,1,0,2019,maio,5
Marcelo Arar,2,0,2,2019,maio,5
Matheus Floriano,0,0,0,2019,maio,5
Paulo Messina,0,0,0,2019,maio,5
Paulo Pinheiro,0,0,0,2019,maio,5
Prof.Célio Lupparelli,0,0,0,2019,maio,5
Professor Adalmir,0,0,0,2019,maio,5
Rafael Aloisio Freitas,0,0,0,2019,maio,5
Reimont,0,0,0,2019,maio,5
Renato Cinco,0,0,0,2019,maio,5
Renato Moura,0,0,0,2019,maio,5
Rocal,0,0,0,2019,maio,5
Rosa Fernandes,0,0,0,2019,maio,5
Tânia Bastos,0,0,0,2019,maio,5
Tarcísio Motta,0,0,0,2019,maio,5
Teresa Bergher,0,0,0,2019,maio,5
Thiago K. Ribeiro,0,0,0,2019,maio,5
Tiãozinho do Jacaré,1,0,1,2019,maio,5
Vera Lins,1,1,0,2019,maio,5
Veronica Costa,2,2,0,2019,maio,5
Welington Dias,0,0,0,2019,maio,5
Willian Coelho,2,1,1,2019,maio,5
Zico,1,0,1,2019,maio,5
